"featureid","totalObs","meanMaxTemp","maxMaxTemp","meanDays.18","meanDays.20","meanDays.22","yearsMaxTemp.18","freqMax.18","yearsMaxTemp.20","freqMax.20","yearsMaxTemp.22","freqMax.22","meanResist","meanRMSE","flag"
750076,0,23.6040433484163,25.5465589691578,94,62,16,34,1,34,1,34,1,231.498145724863,NA,NA
750077,0,22.153995485158,24.091538385871,72,27,4,34,1,34,1,20,0.588235294117647,138.984688411309,NA,NA
750078,0,22.8494912839191,25.0141717474928,80,40,7,34,1,34,1,27,0.794117647058823,233.573727434062,NA,NA
750079,0,44.5691628982347,45.9201807118493,222,222,222,34,1,34,1,34,1,2289.35238453253,NA,NA
750080,0,24.3263006906071,25.9642855157053,105,76,36,34,1,34,1,34,1,247.694692669384,NA,NA
750081,0,21.9660830020986,23.8226209037586,65,20,3,34,1,34,1,17,0.5,118.109523097454,NA,NA
750082,0,26.0105452400329,28.0589133167349,124,100,69,34,1,34,1,34,1,472.72154921365,NA,NA
750083,0,23.932288396147,26.0395676256808,98,68,20,34,1,34,1,34,1,291.276022109841,NA,NA
750084,0,21.766905893512,23.124197346955,62,18,2,34,1,34,1,14,0.411764705882353,208.078310460185,NA,NA
750085,0,21.0626204925633,22.432258247447,43,9,2,34,1,31,0.911764705882353,2,0.0588235294117647,174.522261707698,NA,NA
750086,0,22.2767642004938,23.6338130485155,71,30,4,34,1,34,1,22,0.647058823529412,143.886952788544,NA,NA
750087,0,21.1287955641308,22.8155581543025,45,10,2,34,1,32,0.941176470588235,4,0.117647058823529,110.211420468226,NA,NA
750088,0,23.8714895904775,25.7596659198906,96,64,18,34,1,34,1,34,1,251.700166067935,NA,NA
750089,0,22.5465513687112,23.8804449793697,76,33,5,34,1,34,1,25,0.735294117647059,285.901885834476,NA,NA
750090,0,20.5465299682052,21.9125097676559,34,3,0,34,1,26,0.764705882352941,0,0,135.576333755955,NA,NA
750091,0,20.8468166968268,22.1198526410254,40,6,1,34,1,30,0.882352941176471,1,0.0294117647058824,132.083750211476,NA,NA
750092,0,21.795569052612,23.1191411657954,61,19,2,34,1,34,1,14,0.411764705882353,137.114054006979,NA,NA
750093,0,21.222583146072,22.633787965649,50,11,1,34,1,32,0.941176470588235,5,0.147058823529412,129.635666619375,NA,NA
750094,0,22.2871396293894,24.2922338009339,73,30,6,34,1,34,1,20,0.588235294117647,149.561266425686,NA,NA
750096,0,19.4034026942513,20.5626212553304,14,2,0,34,1,8,0.235294117647059,0,0,144.992946041175,NA,NA
750097,0,234.610073998603,235.80191187247,222,222,222,34,1,34,1,34,1,19720.2211861556,NA,NA
750098,0,22.3586689584707,23.5592024936156,71,30,4,34,1,34,1,24,0.705882352941177,210.320994658975,NA,NA
750100,0,19.4890969496218,20.630763676727,14,2,0,34,1,9,0.264705882352941,0,0,141.286544147686,NA,NA
750101,0,25.6204414513025,26.8994932407476,118,95,55,34,1,34,1,34,1,563.117456142384,NA,NA
750102,0,44.7484225550588,46.0880585121401,222,222,222,34,1,34,1,34,1,2296.40069208094,NA,NA
750103,0,44.9868055367968,46.3886205714528,222,222,222,34,1,34,1,34,1,2310.48152317304,NA,NA
750104,0,21.9915013233095,24.0577935628646,71,24,2,34,1,34,1,18,0.529411764705882,149.891848309853,NA,NA
750105,0,46.1842230700139,47.621626698614,222,222,222,34,1,34,1,34,1,2432.51597041164,NA,NA
750106,102,226.748156973372,228.267337398549,222,222,222,34,1,34,1,34,1,18844.0491842254,20.9108259948092,"Flag"
750107,0,21.8832934086044,23.4185382506768,66,22,3,34,1,34,1,15,0.441176470588235,140.997629717228,NA,NA
750108,0,25.5214185997237,26.8874584688657,116,92,54,34,1,34,1,34,1,381.713442262155,NA,NA
750109,0,21.0228963613026,22.4286523526897,46,9,1,34,1,31,0.911764705882353,3,0.0882352941176471,125.959032959814,NA,NA
750110,0,21.386245525269,22.7211641451189,48,10,1,34,1,32,0.941176470588235,7,0.205882352941176,165.715143314306,NA,NA
750111,0,21.615418248962,23.1632010992034,60,17,2,34,1,33,0.970588235294118,11,0.323529411764706,123.117599493657,NA,NA
750112,0,22.55773233821,24.0274489584981,78,37,7,34,1,34,1,26,0.764705882352941,131.968774479765,NA,NA
750113,0,21.5599118265404,22.7195282271627,56,16,2,34,1,34,1,10,0.294117647058824,201.756902586753,NA,NA
750114,0,20.0900825474049,21.6226621271547,18,2,0,34,1,20,0.588235294117647,0,0,168.674091286708,NA,NA
750115,0,25.1366948828854,26.3944515906263,114,88,46,34,1,34,1,34,1,378.902287696211,NA,NA
750116,0,23.9528488404091,25.5252112443823,100,68,23,34,1,34,1,34,1,223.587819183994,NA,NA
750117,0,46.2628592483502,47.6180069327711,222,222,222,34,1,34,1,34,1,2416.29503283551,NA,NA
750118,0,21.5638508735063,22.949374975865,57,14,2,34,1,33,0.970588235294118,8,0.235294117647059,137.039221924231,NA,NA
750119,0,21.5274755741719,23.1198627717988,59,14,2,34,1,34,1,8,0.235294117647059,118.097041852561,NA,NA
750120,0,22.1403003795807,23.5678219673348,68,26,3,34,1,34,1,21,0.617647058823529,140.576790516189,NA,NA
750121,0,34.0199854800784,35.6493535692418,204,189,172,34,1,34,1,34,1,1158.88552393282,NA,NA
750122,0,22.6774868712659,23.9783829164141,77,36,5,34,1,34,1,28,0.823529411764706,170.312072662612,NA,NA
750123,0,22.0881043904712,23.512797466036,69,26,4,34,1,34,1,19,0.558823529411765,140.154647045294,NA,NA
750124,0,20.6178290007402,22.715456826001,40,6,2,34,1,26,0.764705882352941,1,0.0294117647058824,94.6309431173726,NA,NA
750125,0,27.4951282429629,28.7912420894463,142,117,92,34,1,34,1,34,1,597.775208980828,NA,NA
750126,0,25.7800427018596,27.3092815830955,122,97,64,34,1,34,1,34,1,418.761748354295,NA,NA
750127,0,20.4322783806115,22.51837572114,37,6,1,34,1,23,0.676470588235294,1,0.0294117647058824,93.1345714167586,NA,NA
750128,0,27.9448692002861,29.2119245973222,145,120,97,34,1,34,1,34,1,706.79922835925,NA,NA
750129,0,20.7728583519295,22.336686428225,44,7,1,34,1,29,0.852941176470588,1,0.0294117647058824,136.587584883751,NA,NA
750130,0,20.3781796447342,21.7316277417662,32,3,0,34,1,26,0.764705882352941,0,0,131.608815088048,NA,NA
750131,0,89.6985712578525,91.2108191919157,222,222,222,34,1,34,1,34,1,6236.9552271723,NA,NA
750133,0,21.0225371187399,22.301503077715,42,9,1,34,1,30,0.882352941176471,2,0.0588235294117647,137.482836342347,NA,NA
750134,0,20.5124214462341,21.806239257918,34,4,0,34,1,26,0.764705882352941,0,0,141.612336174476,NA,NA
750135,0,24.3690983775465,25.8269309701372,104,74,33,34,1,34,1,34,1,233.621369041962,NA,NA
750136,0,21.9169587602726,23.1875380485892,61,19,2,34,1,34,1,17,0.5,175.578823286329,NA,NA
750137,0,20.7869952489974,22.3456445287775,42,7,1,34,1,29,0.852941176470588,1,0.0294117647058824,144.079411120394,NA,NA
750138,0,20.7720941158866,22.1664904241626,41,8,1,34,1,28,0.823529411764706,1,0.0294117647058824,140.206352695257,NA,NA
750139,0,22.7239085005693,24.4952167707198,76,36,7,34,1,34,1,28,0.823529411764706,149.025498994429,NA,NA
